data_limb,ipsi_limb,contra_limb,analysis,variable,statistic,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101
CONTRA,ASYM,SYM,id,ankle_angle_moment,mean,-31.54994684,-30.56971769,-30.79580463,-31.19475621,-31.27471384,-31.69643455,-32.24090461,-32.71617725,-33.35857733,-34.15727548,-35.01585978,-36.39009094,-38.02438813,-39.62373354,-40.99057236,-42.03868057,-43.161004,-43.78622498,-44.16817989,-44.55076183,-44.64333675,-44.80612004,-44.7673636,-44.99940707,-45.28863785,-45.81978487,-46.0918398,-46.24161554,-45.75522729,-44.72758879,-42.97664758,-40.41058157,-36.15325389,-30.98941773,-25.01780671,-19.17347907,-13.9168988,-9.568693684,-5.967844496,-3.096953584,-1.390190152,-0.292931363,0.376490632,0.694609486,0.955240205,0.959090941,0.854341469,0.724818149,0.736422546,0.767827354,0.83747141,0.848571641,0.869993572,0.901597365,0.939651517,0.978559078,1.011148987,1.027623396,1.014776329,0.959795388,0.859576429,0.726850729,0.587498686,0.451340625,0.450335869,0.783609025,0.768301031,1.016321914,1.444242185,1.244608297,0.347293781,-2.555476562,-4.434501711,-7.42028628,-11.42035236,-15.68269878,-19.94591419,-24.65590666,-29.10488708,-33.17396878,-37.06430245,-40.40181571,-43.13762811,-45.54848753,-47.866157,-49.830942,-51.54511763,-53.20277926,-54.89967564,-56.94439057,-59.2967098,-62.1137348,-65.73313369,-70.24033946,-75.54638875,-81.236294,-86.7850468,-91.16334669,-93.06582776,-91.42071787,-85.00624441
CONTRA,ASYM,SYM,id,ankle_angle_moment,sd,18.11840449,18.20540642,18.67674992,19.23658817,20.38748342,22.05912188,24.27929857,27.00708784,29.96692389,32.84341861,34.66288454,34.69379531,34.01756249,34.87514703,37.13256914,39.5366022,41.87136303,43.54255055,44.62269151,45.2975417,45.31765345,44.66372378,43.27535291,41.06016063,37.74229547,33.91993505,30.46933758,28.03801175,26.53217224,26.12439543,26.16069766,26.5876693,26.33709153,26.05797186,25.20451969,23.76363345,22.04662024,20.79171827,19.84208997,18.75614774,17.25028933,15.26567952,12.72976781,9.979329118,7.392841542,4.797612822,2.536743432,1.117476679,0.925546664,0.661230091,0.325501442,0.334704617,0.334478014,0.324570324,0.306543982,0.286615154,0.277440416,0.287194021,0.316371618,0.368663029,0.439183021,0.501802603,0.525222422,0.554432727,1.46024278,2.504964999,6.787101641,7.467162201,7.661067881,8.239656637,8.628521064,17.75475921,17.59062347,16.58051918,15.17913576,14.82612981,16.76394289,19.37752866,21.96227711,24.1646807,25.88009434,27.05027915,27.72398573,28.10787953,28.26693437,28.17019964,27.7869988,27.31602846,26.73459682,26.09457389,25.36780362,24.64581105,24.18230889,24.10294546,24.29643345,24.6948737,25.25675191,25.8688205,26.63090876,27.25412639,27.47554724
CONTRA,ASYM,SYM,id,arm_add_moment,mean,3.728358027,3.918736622,3.916564626,3.759771363,3.530818654,3.306469267,3.130291411,3.012439746,2.940822144,2.896965365,2.866757422,2.84386243,2.828428791,2.825212385,2.840355402,2.875434485,2.92727006,2.993094188,3.071036204,3.155679129,3.240337873,3.321596871,3.399311448,3.474118061,3.544757292,3.612626478,3.687896505,3.786995414,3.922683753,4.095474921,4.294595795,4.516628913,4.75926119,4.97638639,5.088614955,5.053286801,4.900934716,4.69462934,4.474884553,4.251140616,4.031998191,3.844326536,3.718219746,3.660428629,3.653705513,3.680076402,3.731509152,3.803200602,3.883598672,3.953976505,3.995427963,3.993207125,3.944394629,3.859699318,3.751800634,3.62981721,3.499204763,3.364629676,3.233116603,3.113674184,3.015699442,2.946840647,2.910169164,2.905378214,2.935459879,3.007259121,3.12503216,3.285172845,3.476179015,3.682688413,3.89278138,4.102989942,4.309701627,4.508210588,4.68960466,4.827466701,4.894576105,4.877102125,4.7679755,4.574724867,4.323033841,4.041282138,3.752141558,3.473236225,3.219208313,3.002657488,2.831219159,2.705479907,2.620315111,2.569313084,2.549691798,2.565006264,2.624884786,2.739028814,2.909106674,3.121107625,3.342104773,3.52671849,3.629718771,3.613791798,3.454219322
CONTRA,ASYM,SYM,id,arm_add_moment,sd,1.447285569,1.508863408,1.477679398,1.382317966,1.272461652,1.183171049,1.126310086,1.09698414,1.085828327,1.086018906,1.092023829,1.097888234,1.099329475,1.099530802,1.110368105,1.143384551,1.198922829,1.267973582,1.340910717,1.410280355,1.467958292,1.501379037,1.499912534,1.462711194,1.399613551,1.332384727,1.286440956,1.275646661,1.296234118,1.335617843,1.392776404,1.466255623,1.573766248,1.723479753,1.904581579,2.075972158,2.204491887,2.280784533,2.301499488,2.26580291,2.175028778,2.046786137,1.920099628,1.825333039,1.757174656,1.693926434,1.632129403,1.582684337,1.545347509,1.509981491,1.475359276,1.454037942,1.454747876,1.469458471,1.484928965,1.492173877,1.489314401,1.478785405,1.465430855,1.451074226,1.432435339,1.414120892,1.409916065,1.429279249,1.475189456,1.542805881,1.621127847,1.696559208,1.751080787,1.785362211,1.819802858,1.858270728,1.886117402,1.884515259,1.845982766,1.797521682,1.766324673,1.745190681,1.71212257,1.651245587,1.569071658,1.488163002,1.416482615,1.346099563,1.277439531,1.220183421,1.179528297,1.153648664,1.137944296,1.128270352,1.127839153,1.142497013,1.173032926,1.224012241,1.307272986,1.426132685,1.564415719,1.692557413,1.773198745,1.764837084,1.639107574
CONTRA,ASYM,SYM,id,arm_flex_moment,mean,2.8448491,2.991927706,3.128625775,3.221937101,3.234937714,3.146164972,2.962698776,2.719322733,2.46534419,2.246647794,2.093324729,2.016670002,2.012309698,2.068900611,2.171109046,2.301546832,2.446764764,2.599425742,2.755757175,2.913323408,3.071133014,3.227047503,3.3788405,3.523856924,3.654534535,3.762240708,3.842150537,3.895303387,3.927814897,3.944925651,3.944829198,3.912852284,3.819004333,3.64451937,3.417640147,3.195705523,3.005235316,2.818879823,2.593394402,2.317005629,2.021066317,1.757517515,1.566650818,1.45916791,1.424167775,1.446362761,1.51249423,1.606455587,1.706187923,1.790174045,1.847653502,1.878816166,1.891535928,1.89788871,1.910064848,1.936621392,1.978609801,2.02863524,2.080390466,2.134587735,2.195611198,2.269622592,2.362492741,2.476956514,2.609188166,2.747960789,2.874058064,2.960399216,2.982100425,2.929864444,2.814409095,2.660397484,2.504929761,2.393121663,2.34688376,2.340277769,2.328655655,2.287236787,2.217935166,2.134121433,2.046303491,1.957883787,1.867918804,1.776843112,1.690292513,1.616439439,1.564678297,1.547351733,1.574091023,1.647168573,1.763958024,1.923417304,2.12567344,2.372150945,2.663792507,2.990392793,3.323101878,3.607749524,3.761627732,3.691239608,3.341483784
CONTRA,ASYM,SYM,id,arm_flex_moment,sd,1.020459039,1.039027568,1.056095765,1.065416397,1.066841893,1.055585741,1.02796974,0.983886322,0.925870939,0.862032575,0.805918638,0.77085324,0.757509973,0.755720046,0.758211723,0.762873303,0.772498268,0.795299709,0.831714539,0.865439086,0.88345388,0.893891957,0.913353665,0.942807841,0.974563513,1.009544171,1.052839819,1.099224383,1.137237309,1.154511303,1.15467186,1.1612447,1.177818967,1.182496184,1.221108113,1.347700751,1.504925776,1.617539718,1.659343473,1.658234871,1.653444291,1.641425793,1.58469662,1.467422758,1.320139951,1.184280078,1.072687371,0.983517052,0.924961765,0.907517671,0.927621237,0.960230792,0.978753616,0.978976299,0.971779121,0.966314781,0.962092868,0.952237628,0.932772333,0.906874669,0.88591381,0.884358619,0.906785235,0.94402727,0.983057485,1.015586173,1.041513673,1.070711618,1.127483858,1.238992726,1.382778829,1.475774635,1.466142353,1.380360217,1.263680403,1.164091811,1.111059834,1.102553471,1.111979034,1.113425122,1.09933964,1.071316943,1.035303683,0.998031571,0.959843194,0.922508859,0.90270355,0.920735836,0.974188165,1.041687587,1.106501825,1.166146624,1.232437887,1.310890035,1.399946593,1.504688719,1.625975645,1.73792058,1.779659665,1.672579383,1.365061371
CONTRA,ASYM,SYM,id,arm_rot_moment,mean,-1.066685973,-1.136329062,-1.170057655,-1.157812371,-1.099747194,-1.012479005,-0.923788487,-0.856352909,-0.818077313,-0.803097723,-0.799544339,-0.798628929,-0.800083003,-0.810580723,-0.833761039,-0.864484527,-0.896914805,-0.929942018,-0.964035251,-0.998872872,-1.034687566,-1.072501765,-1.113085685,-1.154426726,-1.190195665,-1.210281046,-1.203970978,-1.16847307,-1.111506014,-1.044536311,-0.977062859,-0.910559565,-0.837464319,-0.756195946,-0.682725956,-0.638265284,-0.625768853,-0.625119202,-0.610555208,-0.569586506,-0.510766804,-0.453961222,-0.413175978,-0.389961269,-0.379101034,-0.378134249,-0.38852864,-0.410992073,-0.441323198,-0.474014068,-0.508299889,-0.547229336,-0.594345202,-0.650449512,-0.712486717,-0.776105771,-0.83639567,-0.887848933,-0.927679315,-0.957968695,-0.985077903,-1.019157655,-1.070110464,-1.141377789,-1.227138184,-1.314496077,-1.387577027,-1.430130807,-1.42788117,-1.369981883,-1.24950091,-1.065897776,-0.83362497,-0.585592794,-0.360962981,-0.187519367,-0.077483903,-0.034512451,-0.055388058,-0.126144102,-0.22470866,-0.330313794,-0.428858561,-0.513514966,-0.582343916,-0.635630419,-0.676823923,-0.713238788,-0.752419468,-0.797754806,-0.848540846,-0.904387732,-0.968364236,-1.047214982,-1.146713147,-1.266388811,-1.397415859,-1.517060825,-1.581261823,-1.532466758,-1.333425158
CONTRA,ASYM,SYM,id,arm_rot_moment,sd,0.530585811,0.570101525,0.581704472,0.56994788,0.551698159,0.526664447,0.490214281,0.450762381,0.420469104,0.404791925,0.400148552,0.400386454,0.39897685,0.390348581,0.38120916,0.38077536,0.385172046,0.394821987,0.409799332,0.42410142,0.435949466,0.452652128,0.480168701,0.518777169,0.566666686,0.614076322,0.64709152,0.659227739,0.651778431,0.631392844,0.6123555,0.609937636,0.621016579,0.630510368,0.642569019,0.659349784,0.672824465,0.687428498,0.704022523,0.706496795,0.683140061,0.640528478,0.58980804,0.540455415,0.501359404,0.475503265,0.456293419,0.440414871,0.435426803,0.445063707,0.461192443,0.471773298,0.472807359,0.47098021,0.474118686,0.482278495,0.490706928,0.496621618,0.498333474,0.493158347,0.482935526,0.477103636,0.481878418,0.49429019,0.51245698,0.531435382,0.542163785,0.541491876,0.541046059,0.565402395,0.626588778,0.702468866,0.754005928,0.756282821,0.710324811,0.643611949,0.600407351,0.601870156,0.620409427,0.621264342,0.595124128,0.551494472,0.501331008,0.451122911,0.406096504,0.373970258,0.359965115,0.359100251,0.362508847,0.365997006,0.370723166,0.380245576,0.398219327,0.424131069,0.45637543,0.494724062,0.536445926,0.571308468,0.584542838,0.564291548,0.508041166
CONTRA,ASYM,SYM,id,elbow_flex_moment,mean,1.80598211,1.810326451,1.843675378,1.874905542,1.875869317,1.83349122,1.756384376,1.666861316,1.586362764,1.524954282,1.480602749,1.448230583,1.427463696,1.421228635,1.427501371,1.435544669,1.437826277,1.435900704,1.43361519,1.433041425,1.435187647,1.442119039,1.457842066,1.485805387,1.526937726,1.578881954,1.636658415,1.700966868,1.783801912,1.90134976,2.060709258,2.2495945,2.445302127,2.62920592,2.782859985,2.886497117,2.922825924,2.881627839,2.767878306,2.607235735,2.437408821,2.28935945,2.174636898,2.087257014,2.018430963,1.965519584,1.92940068,1.909547128,1.903269605,1.907470771,1.917389317,1.926673347,1.929963356,1.925302913,1.91383903,1.897034764,1.875435893,1.849973078,1.822002812,1.793653126,1.769655864,1.756399669,1.760864242,1.789282174,1.843514481,1.917620826,2.00100934,2.085559541,2.167757823,2.245868465,2.316516446,2.373839973,2.40833556,2.403904344,2.346573004,2.243120071,2.120689044,2.009110039,1.923130247,1.860002334,1.810754767,1.769581475,1.735149651,1.70604597,1.67883535,1.648676789,1.612786807,1.573107271,1.533636312,1.497693653,1.469756578,1.456077195,1.462447353,1.492318311,1.546761547,1.62473292,1.723499779,1.836954873,1.951798715,2.044483269,2.08496869
CONTRA,ASYM,SYM,id,elbow_flex_moment,sd,0.369295752,0.382948108,0.3813146,0.369538066,0.372362911,0.381219616,0.383647855,0.387519407,0.394955221,0.398960432,0.394191195,0.385745015,0.382272877,0.380597619,0.381412167,0.385212218,0.379346819,0.37586635,0.389267636,0.41048284,0.428534752,0.444597076,0.464150597,0.495315738,0.557419533,0.659769631,0.770446941,0.852828231,0.905627254,0.95036573,0.999230541,1.011861951,0.940133483,0.834047425,0.775911702,0.775756185,0.800600455,0.816683358,0.795291527,0.743499611,0.690787831,0.652906304,0.624889318,0.601915975,0.593997356,0.604361256,0.615147784,0.610882412,0.596108738,0.582641762,0.568802069,0.546180164,0.51669385,0.491379355,0.478266983,0.473509781,0.470774841,0.47142163,0.475341638,0.474489915,0.463395934,0.446256971,0.434462665,0.438762044,0.461123105,0.490465378,0.512193063,0.521832972,0.521334696,0.510142361,0.4909337,0.471740666,0.469704589,0.503645126,0.55911449,0.612479455,0.650378161,0.665281204,0.660335949,0.646612577,0.628457254,0.601617042,0.568052112,0.53718506,0.513718984,0.497464621,0.490489765,0.495631984,0.509210204,0.5191025,0.514249107,0.494869622,0.473528059,0.462139908,0.464739799,0.480693552,0.506623966,0.535010733,0.550354384,0.532019584,0.464448541
